Question,Answer
What are the treatments for Diabetes ?,"Diabetes is a very serious disease. Over time, diabetes that is not well managed causes serious damage to the eyes, kidneys, nerves, and heart, gums and teeth. If you have diabetes, you are more likely than someone who does not have diabetes to have heart disease or a stroke. People with diabetes also tend to develop heart disease or stroke at an earlier age than others. The best way to protect yourself from the serious complications of diabetes is to manage your blood glucose, blood pressure, and cholesterol and avoid smoking. It is not always easy, but people who make an ongoing effort to manage their diabetes can greatly improve their overall health."
Who is at risk for Diabetes? ?,"Here are the risk factors for type 2 diabetes. -  being over 45 years of age  -  being overweight or obese  - having a first-degree relative -- a parent, brother, or sister -- with diabetes  - being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  - having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds  - having blood pressure of 140/90 or higher, or having been told that you have high blood pressure.  - having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher  - being inactive or exercising fewer than three times a week.  - having polycystic ovary syndrome, also called PCOS (women only)  - on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG)  - history of cardiovascular disease (disease affecting the heart and blood vessels). being over 45 years of age being overweight or obese having a first-degree relative -- a parent, brother, or sister -- with diabetes being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds having blood pressure of 140/90 or higher, or having been told that you have high blood pressure. having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher being inactive or exercising fewer than three times a week. having polycystic ovary syndrome, also called PCOS (women only) on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG) history of cardiovascular disease (disease affecting the heart and blood vessels)."
How to prevent Diabetes ?,"The two most common forms of diabetes are type 1 and type 2. Currently, there is no way to delay or prevent type 1 diabetes. However, research has shown that making modest lifestyle changes can prevent or delay type 2 diabetes in people at risk for the disease. In the Diabetes Prevention Program (DPP), a landmark study by the National Institute of Diabetes and Digestive and Kidney Diseases, researchers found that adults at high risk for type 2 diabetes were able to cut their risk in half by losing a modest amount of weight and being active almost every day. This means losing 5 to 7 percent of body weight (that's 10 pounds if you weigh 200 pounds) and getting 150 minutes of physical activity a week. The DPP study also showed that modest weight loss (achieved by following a low calorie, low-fat diet) and moderate physical activity were especially effective in preventing or delaying the development of diabetes in older people. In fact, people over the age of 60 were able to reduce their risk for developing type 2 diabetes by 71 percent. (Watch the video to learn more about preventing type 2 diabetes. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What causes Depression ?,"Several lines of research have shown that depressive illnesses are disorders of the brain. But the exact causes for these illnesses are not yet clear and are still being studied. Changes in the Brain Imaging technologies show that the brains of people with depression look different or are working differently than those who do not have the illness. The areas of the brain that control moods, thinking, sleep, appetite, and behavior appear not to be functioning well. The scans also show very high or very low levels of important brain chemicals. But these images do not reveal WHY the depression has occurred. Many Possible Causes In general, there is no one cause or risk factor for depression. It most likely results from many factors, such as family history, life experiences, and environment. Older adults with depression may have had it when they were younger, or they may have a family history of the illness. They may also be going through difficult life events, such as losing a loved one, a difficult relationship with a family member or friend, or financial troubles. For older adults who experience depression for the first time later in life, other factors may be at play. Depression may be related to changes that occur in the brain and body as a person ages. For example, some older adults who are at risk for illnesses such as heart disease or stroke may have hardening and inflammation of the blood vessels, and blood may not be able to flow normally to the body's organs, including the brain. Over time, this blood vessel disease and restricted blood flow can damage nearby brain tissue and harm the nerve connections that help different parts of the brain communicate with each other. If this happens, an older adult with no family history of depression may develop what some doctors call ""vascular depression."" Older adults may also experience depression as a result of brain changes caused by illnesses such as Alzheimers disease or Parkinsons disease. This type of depression can appear in the early stages of these diseases, before many symptoms appear. Depression Can Occur With Other Illnesses Depression can also co-occur with other serious medical illnesses such as diabetes, cancer, and Parkinson's disease. Depression can make these conditions worse, and vice versa. Sometimes, medications taken for these illnesses may cause side effects that contribute to depression. Because many older adults face these illnesses along with various social and economic difficulties, some health care professionals may wrongly conclude that these problems are the cause of the depression -- an opinion often shared by patients themselves. All these factors can cause depression to go undiagnosed or untreated in older people. Yet, treating the depression will help an older adult better manage other conditions he or she may have."
What is (are) Depression ?,"Depression is more than just feeling blue or sad. It is an illness. When you have depression, it interferes with daily life and normal functioning, and causes pain for both you and those who care about you."
What is (are) Depression ?,"Major depressive disorder, also called major depression or clinical depression, is characterized by a combination of symptoms that interfere with your ability to work, sleep, concentrate, eat, and enjoy activities you once liked. Major depression keeps a person from functioning normally. Dysthymic disorder, or dysthymia, is a less severe but sometimes more long-lasting form of depression. It is characterized by symptoms lasting two years or longer that keep you from functioning normally or feeling well. Subsyndromal depression, affecting many older adults, includes real symptoms of depression that are less severe than major depression or dysthymia. Having sybsydromal depression may increase your risk of developing major depression. Psychotic depression  occurs when a person has severe depression plus some form of psychosis, such as having disturbing false beliefs or a break with reality (delusions), or hearing or seeing upsetting things that others cannot hear or see (hallucinations). Bipolar depression  also called manic-depressive illness, is not as common as major depression or dysthymia. Bipolar disorder is characterized by cycling mood changesfrom extreme highs (e.g., mania) to extreme lows (e.g., depression)."
Who is at risk for Depression? ?,"The risk factors for depression are family history, life experiences, and environment. If you have depression, you may have experienced it when you were younger, and may have a family history of the illness. You may also be going through difficult life events, such as physical or psychological trauma, losing a loved one, a difficult relationship with a family member or friend, or financial troubles. Any of these stressful experiences can lead to depression. For older adults who experience depression for the first time later in life, other factors may be at play. Depression may be related to changes that occur in the brain and body as a person ages. For example, some older adults who are at risk for illnesses such as heart disease or stroke may have hardening and inflammation of the blood vessels, and blood may not be able to flow normally to the body's organs, including the brain. Over time, this blood vessel disease and restricted blood flow can damage nearby brain tissue and harm the nerve connections that help different parts of the brain communicate with each other. If this happens, an older adult with no family history of depression may develop what some doctors call ""vascular depression."" Older adults may also experience depression as a result of brain changes caused by illnesses such as Alzheimers disease or Parkinsons disease. This type of depression can appear in the early stages of these diseases, before many symptoms appear."
What are the symptoms of Depression ?,"Symptoms of depression often vary depending upon the person. Common symptoms include - feeling nervous or emotionally empty  - tiredness or a ""slowed down"" feeling  - feeling guilty or worthless  - restlessness and irritability  - feeling like life is not worth living  - sleep problems such as insomnia, oversleeping or wakefulness in the middle of the night   - eating more or less than usual, usually with unplanned weight gain or loss  - having persistent headaches, stomach-aches or other chronic pain that does not go away when treated  - loss of interest in once pleasurable activities  - frequent crying  - difficulty focusing, remembering or making decisions  - thoughts of death or suicide. feeling nervous or emotionally empty tiredness or a ""slowed down"" feeling feeling guilty or worthless restlessness and irritability feeling like life is not worth living sleep problems such as insomnia, oversleeping or wakefulness in the middle of the night eating more or less than usual, usually with unplanned weight gain or loss having persistent headaches, stomach-aches or other chronic pain that does not go away when treated loss of interest in once pleasurable activities frequent crying difficulty focusing, remembering or making decisions thoughts of death or suicide."
What are the symptoms of Gout ?,"Attacks Usually Start at Night Gout is a form of arthritis that causes sudden onset of intense pain and swelling in the joints, which also may be warm and red. Gout typically attacks one joint at a time, and the attacks usually begin at night. Where Gout Usually Occurs Gout normally attacks joints in the lower part of the body, such as the knee, ankle or big toe. For many people, the joints in the big toe are the first to be attacked. In fact, sometime during the course of the disease, many people will develop gout in the big toe. Other Signs and Symptoms These can include - hyperuricemia -- high levels of uric acid in the body  hyperuricemia -- high levels of uric acid in the body -  the presence of uric acid crystals in joint fluid  the presence of uric acid crystals in joint fluid -  more than one attack of acute arthritis more than one attack of acute arthritis -  arthritis that develops in a day, producing a swollen, red, and warm joint  arthritis that develops in a day, producing a swollen, red, and warm joint -  an attack of arthritis in only one joint, often the toe, ankle, or knee. an attack of arthritis in only one joint, often the toe, ankle, or knee. Diagnosis May Be Difficult Gout may be difficult for doctors to diagnose because the symptoms can be vague, and gout often mimics other conditions. Although most people with gout have hyperuricemia at some time during the course of their disease, it may not be present during an acute attack. In addition, having hyperuricemia alone does not mean that a person will get gout. In fact, most people with hyperuricemia do not develop the disease. Testing for Gout To confirm a diagnosis of gout, the doctor inserts a needle into the inflamed joint and draws a sample of synovial fluid, the substance that lubricates a joint. A laboratory technician places some of the fluid on a slide and looks for monosodium urate crystals under a microscope. If crystals are found in the joint fluid, the person usually has gout."
What is (are) Gout ?,"Gout is a form of arthritis that causes sudden onset of intense pain and swelling in the joints, which also may be warm and red. Attacks frequently occur at night and can be triggered by stressful events, alcohol or drugs, or the presence of another illness. Sometime during the course of the disease, many people will develop gout in the big toe. Gout frequently affects joints in the lower part of the body such as the knees, ankles, or toes."
What causes Gout ?,"Most people with gout have too much uric acid in their blood, a condition called hyperuricemia. Uric acid is a substance that results from the breakdown of purines, which are part of all human tissue and are found in many foods, especially those high in protein. Needle-like crystals of uric acid can build up in the connective tissue, in the joint space between two bones, or both. If too many uric acid crystals form as a result of hyperuricemia, gout can develop."
Who is at risk for Gout? ?,"These risk factors are associated with gout. - Genetics. Many people with gout have a family history of the disease.   -  Gender and age. Gout is more common in men than in women and more common in adults than in children.  -  Weight. Being overweight increases the risk of developing gout because there is more tissue available for turnover or breakdown, which leads to excess uric acid production. (High levels of uric acid in the blood can lead to gout.)  - Alcohol consumption. Drinking too much alcohol can lead to a buildup of uric acid because alcohol interferes with the removal of uric acid from the body.  - Diet. Eating too many foods that are rich in purines such as liver, dried beans and peas, anchovies and gravies, can cause or aggravate gout in some people.   - Lead exposure. In some cases, exposure to lead in the environment can cause gout. Genetics. Many people with gout have a family history of the disease.  Gender and age. Gout is more common in men than in women and more common in adults than in children. Weight. Being overweight increases the risk of developing gout because there is more tissue available for turnover or breakdown, which leads to excess uric acid production. (High levels of uric acid in the blood can lead to gout.) Alcohol consumption. Drinking too much alcohol can lead to a buildup of uric acid because alcohol interferes with the removal of uric acid from the body. Diet. Eating too many foods that are rich in purines such as liver, dried beans and peas, anchovies and gravies, can cause or aggravate gout in some people. Lead exposure. In some cases, exposure to lead in the environment can cause gout."
Who is at risk for Gout? ?,"Renal insufficiency, or the inability of the kidneys to eliminate waste products, is a common cause of gout in older people. Here are other medical problems that contribute to high blood levels of uric acid and can put people at risk for gout. - high blood pressure  - hypothyroidism (underactive thyroid gland)  - conditions that cause an excessively rapid turnover of cells, such as psoriasis, hemolytic anemia, or some cancers  - Kelley-Seegmiller syndrome or Lesch-Nyhan syndrome, two rare conditions in which the enzyme that helps control uric acid levels either is not present or is found in insufficient quantities.  high blood pressure hypothyroidism (underactive thyroid gland) conditions that cause an excessively rapid turnover of cells, such as psoriasis, hemolytic anemia, or some cancers Kelley-Seegmiller syndrome or Lesch-Nyhan syndrome, two rare conditions in which the enzyme that helps control uric acid levels either is not present or is found in insufficient quantities."
What are the symptoms of Gout ?,"Gout is a form of arthritis that frequently affects joints in the lower part of the body such as the knees, ankles, or toes. The affected joint may become swollen, red, or warm. Attacks usually occur at night. Sometime during the course of the disease, many patients will develop gout in the big toe. Other signs and symptoms of gout include - hyperuricemia -- high levels of uric acid in the body   - the presence of uric acid crystals in joint fluid   - more than one attack of acute arthritis  - arthritis that develops in a day, producing a swollen, red, and warm joint  - attack of arthritis in only one joint, often the toe, ankle, or knee. hyperuricemia -- high levels of uric acid in the body the presence of uric acid crystals in joint fluid more than one attack of acute arthritis arthritis that develops in a day, producing a swollen, red, and warm joint attack of arthritis in only one joint, often the toe, ankle, or knee."
How to diagnose Gout ?,"To confirm a diagnosis of gout, the doctor inserts a needle into the inflamed joint and draws a sample of synovial fluid, the substance that lubricates a joint. A laboratory technician places some of the fluid on a slide and looks for uric acid crystals under a microscope. If uric acid crystals are found in the fluid surrounding the joint, the person usually has gout."
What is (are) Gout ?,"The National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at NIH has more information about gout. Check out the information  here. Also, see  ""Key Words""  related to gout."
What is (are) Diabetic Retinopathy ?,"Can Cause Vision Loss, Blindness Diabetic retinopathy is a complication of diabetes and a leading cause of blindness. It occurs when diabetes damages the tiny blood vessels inside the retina in the back of the eye. A healthy retina is necessary for good vision. If you have diabetic retinopathy, at first you may notice no changes to your vision. But over time, diabetic retinopathy can get worse and cause vision loss. Diabetic retinopathy usually affects both eyes. Four Stages The four stages of diabetic retinopathy are - mild nonproliferative retinopathy  - moderate nonproliferative retinopathy  - severe nonproliferative retinopathy  - proliferative retinopathy. mild nonproliferative retinopathy moderate nonproliferative retinopathy severe nonproliferative retinopathy proliferative retinopathy. The first stage is mild nonproliferative retinopathy. At this earliest stage, there are small areas of balloon-like swelling in the retina's tiny blood vessels. The second stage is moderate nonproliferative retinopathy. As the disease progresses, some blood vessels that nourish the retina are blocked. The third stage is severe nonproliferative retinopathy. Many more blood vessels are blocked, depriving several areas of the retina of their blood supply. These areas send signals to the body to grow new blood vessels for nourishment. The fourth stage is proliferative retinopathy. At this advanced stage, the signals sent by the retina for nourishment cause the growth of new blood vessels. These new blood vessels are abnormal and fragile. The new blood vessels grow along the retina and along the surface of the clear, vitreous gel that fills the inside of the eye. By themselves, these blood vessels do not cause symptoms or vision loss. However, they have thin, fragile walls. If they leak blood, severe vision loss and even blindness can result. Other Diabetic Eye Diseases In addition to diabetic retinopathy, other diabetic eye diseases that people with diabetes may face are cataract and glaucoma. See this graphic for a quick overview of diabetic eye disease, including how many people it affects, whos at risk, what to do if you have it, and how to learn more."
What is (are) Diabetic Retinopathy ?,"Diabetic retinopathy is a complication of diabetes and a leading cause of blindness. It occurs when diabetes damages the tiny blood vessels inside the retina, the light-sensitive tissue at the back of the eye. A healthy retina is necessary for good vision. If you have diabetic retinopathy, at first you may notice no changes to your vision. But over time, diabetic retinopathy can get worse and cause vision loss. Diabetic retinopathy usually affects both eyes. See this graphic for a quick overview of diabetic eye disease, including how many people it affects, whos at risk, what to do if you have it, and how to learn more."
What is (are) Diabetic Retinopathy ?,"The four stages of diabetic retinopathy are - mild nonproliferative retinopathy  - moderate nonproliferative retinopathy  - severe nonproliferative retinopathy  - proliferative retinopathy mild nonproliferative retinopathy moderate nonproliferative retinopathy severe nonproliferative retinopathy proliferative retinopathy Nonproliferative retinopathy. At this earliest stage, microaneurysms occur. They are small areas of balloon-like swelling in the retina's tiny blood vessels. Moderate nonproliferative retinopathy. As the disease progresses, some blood vessels that nourish the retina are blocked. Severe nonproliferative retinopathy. Many more blood vessels are blocked, depriving several areas of the retina of their blood supply. These areas of the retina send signals to the body to grow new blood vessels for nourishment. Proliferative retinopathy. At this advanced stage, the signals sent by the retina for nourishment trigger the growth of new blood vessels. These new blood vessels are abnormal and fragile. They grow along the retina and along the surface of the clear, vitreous gel that fills the inside of the eye."
What causes Diabetic Retinopathy ?,"Blood vessels damaged from diabetic retinopathy can cause vision loss in two ways. Fragile, abnormal blood vessels can develop and leak blood into the center of the eye, blurring vision. This is proliferative retinopathy and is the fourth and most advanced stage of the disease. Fluid can leak into the center of the macula, the part of the eye where sharp, straight-ahead vision occurs. The fluid makes the macula swell, blurring vision. This condition is called macular edema. It can occur at any stage of diabetic retinopathy, although it is more likely to occur as the disease progresses. About half of the people with proliferative retinopathy also have macular edema."
What are the symptoms of Diabetic Retinopathy ?,Diabetic retinopathy often has no early warning signs. Don't wait for symptoms. Be sure to have a comprehensive dilated eye exam at least once a year.  Learn more about a comprehensive dilated eye exam.
What is (are) Diabetic Retinopathy ?,"If you have a lot of blood in the center of the eye, or vitreous gel, you may need a vitrectomy to restore your sight. If you need vitrectomies in both eyes, they are usually done several weeks apart. A vitrectomy is performed under either local or general anesthesia. Your doctor makes a tiny incision in your eye. Next, a small instrument is used to remove the vitreous gel that is clouded with blood. The vitreous gel is replaced with a salt solution. Because the vitreous gel is mostly water, you will notice no change between the salt solution and the original vitreous gel."
What is (are) Diabetic Retinopathy ?,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov  Find eye health organizations that address diabetic eye disease."
What is (are) Alcohol Use and Older Adults ?,"Alcohol, also known as ethanol, is a chemical found in beverages like beer, wine, and distilled spirits such as whiskey, vodka, and rum. Through a process called fermentation, yeast converts the sugars naturally found in grains and grapes into the alcohol that is in beer and wine. Another process, called distillation, concentrates alcohol in the drink making it stronger, producing what are known as distilled spirits."
What is (are) Alcohol Use and Older Adults ?,"Blood alcohol concentration (BAC) measures the percentage of ethanolthe chemical name for alcohol in alcoholic beveragesin a persons blood. As you drink, you increase your blood alcohol concentration (BAC) level. The higher the BAC, the more impaired a person is. In all states, it is against the law for people to drive if their blood alcohol concentration is above .08. The effects of increased blood alcohol levels can include -  reduced inhibitions   -  slurred speech   - motor impairment   - confusion   -  memory problems   - concentration problems   - coma   - breathing problems   - death.  reduced inhibitions slurred speech motor impairment confusion memory problems concentration problems coma breathing problems death. Learn more about the risks of alcohol overdose."
What are the symptoms of Alcohol Use and Older Adults ?,"Its not always obvious that someone drinks too much. For older adults, clues to a possible alcohol problem include memory loss, depression, anxiety, poor appetite, unexplained bruises, falls, sleeping problems, and inattention to cleanliness or appearance. Answering ""yes"" to at least one of the following questions is also a sign of a possible drinking problem: - Have you ever felt you should cut down on your drinking?  - Have people annoyed you by criticizing your drinking?  - Have you ever felt bad or guilty about your drinking?  - Have you ever had a drink first thing in the morning to steady your nerves or get rid of a hangover? Have you ever felt you should cut down on your drinking? Have people annoyed you by criticizing your drinking? Have you ever felt bad or guilty about your drinking? Have you ever had a drink first thing in the morning to steady your nerves or get rid of a hangover? If you answered yes to any of these questions, talk with your health care provider. Also seek help if you feel you are having drinking-related problems with your health, relationships, or work."
